rule,action,phase,signals,frequency,edge_6h,t_6h,hit_6h,edge_24h,t_24h,hit_24h,edge_72h,t_72h,hit_72h,edge_mean,good_horizons,enough_signals,selective,keep,bars,reason
ANTI_MOMENTUM,EXIT,market,4199,0.2400800457404231,-0.01654115531037549,-0.5561857006597011,0.5100047641734159,-0.052208533635580756,-0.9117305881985279,0.5137133317433819,-0.06973915925264462,-0.6767515084101402,0.5,-0.046162949399533616,0,True,True,False,17490,no consistent edge
FAILED_BOS_SHORT,LONG,market,128,0.007318467695826186,0.038250736812924374,0.21511502042595246,0.5,-0.12949494047261817,-0.3389350640478225,0.515625,-0.04992317562799109,-0.08003498954047465,0.46875,-0.047055793095894964,0,True,True,False,17490,no consistent edge
EMERGENCY_EXIT_05,EXIT100,market,274,0.01566609491137793,-0.21081587344970554,-1.7376582744145248,0.45985401459854014,-0.35453977860952235,-1.4373701794664144,0.4927007299270073,0.4194362873711588,1.0260421467348961,0.5384615384615384,-0.048639788229356364,0,True,True,False,17490,no consistent edge
BOS_RETEST_LONG,LONG,market,400,0.022870211549456832,0.00029683427937569895,0.0037135105264889485,0.475,-0.20031062992734674,-1.1437129576801763,0.445,0.053468469327623724,0.1631957104291842,0.4825,-0.04884844210678244,0,True,True,False,17490,no consistent edge
TREND_RESUME_01,LONG,market,277,0.015837621497998857,-0.10679986424084531,-0.9427336432061769,0.4007220216606498,-0.001628062096501015,-0.0074744040323151606,0.4368231046931408,-0.057081460330362876,-0.16009852620075452,0.4690909090909091,-0.05516979555590307,0,True,True,False,17490,no consistent edge
MULTI_SWING_SELL_01,SHORT,market,386,0.022069754145225842,-0.09989564282810091,-1.067620484498231,0.5129533678756477,0.0368802724435906,0.19654251320624871,0.5129533678756477,-0.13438720756704559,-0.40891225598767045,0.4948186528497409,-0.06580085931718531,0,True,True,False,17490,no consistent edge
BARRIER_L3,EXIT50,market,539,0.030817610062893082,-0.0004424969220985925,-0.003613685317611615,0.5157699443413729,-0.10842469129017362,-0.42927275055349645,0.5102040816326531,-0.09856173961731729,-0.27646508026295447,0.45083487940630795,-0.0691429759431965,0,True,True,False,17490,no consistent edge
EMERGENCY_EXIT_03,EXIT100,market,116,0.006632361349342482,-0.07832356307686857,-0.4438038905056475,0.5517241379310345,-0.4221924734741228,-1.1996808307936688,0.5,0.27411456110957444,0.49454115883917676,0.5217391304347826,-0.07546715848047232,0,True,True,False,17490,no consistent edge
LOWER_LOW_CONTINUE,SHORT,market,505,0.02887364208118925,0.04983427620616577,0.6148290391305484,0.4891089108910891,-0.08570821366411896,-0.46929097467334707,0.48214285714285715,-0.22133716165820205,-0.7368819015702734,0.4930139720558882,-0.08573703303871842,0,True,True,False,17490,no consistent edge
EARLY_EXHAUSTION_BUY,EXIT25,market,2237,0.12790165809033732,-0.016771704545244223,-0.3900441046792146,0.5254919499105546,-0.053727761946887,-0.5770991075543528,0.5062667860340196,-0.1920078943280754,-1.2945388478930575,0.48765154916928605,-0.08750245360673554,0,True,True,False,17490,no consistent edge
